,Team,Pts,abb,target,att_percent,TotValue,annual_wage,total_spend,net_spend
0,Manchester City,93,MCI,1,0.9585764400094515,1000000000,151552000,134.5,40.7
1,Liverpool,92,LIV,1,0.9802862743647595,918900000,144412000,87.0,57.45
2,Chelsea,74,CHE,1,0.8920519912858296,914500000,175890000,118.0,-1.9500000000000028
3,Tottenham Hotspur,71,TOT,1,0.910750539782798,689350000,110190000,95.9,61.78000000000001
4,Arsenal,69,ARS,1,0.9852892725355825,613050000,114370000,167.42,136.01999999999998
5,Manchester United,58,MNU,1,0.9769094138543517,769150000,238850000,140.0,109.3
6,West Ham United,56,WES,0,0.937104,354900000,74556000,74.5,70.265
7,Leicester City,52,LEI,0,0.9896817773370928,526549999,74370000,67.6,63.599999999999994
8,Brighton & Hove Albion,51,BRI,0,0.9730503144654088,318000000,46470000,75.0,-3.5
9,Wolverhampton Wanderers,51,WOL,0,0.957628705148206,376950000,57270000,37.6,5.800000000000001
10,Newcastle United,49,NEW,0,0.9837403034124346,313900000,68570000,146.5,146.5
11,Crystal Palace,48,CRY,0,0.9322378776826505,271050000,72950000,85.62,85.62
12,Brentford,46,BRE,0,0.9801159420289856,273300000,21130000,36.7,35.7
13,Aston Villa,45,AST,0,0.975844618340284,487750000,71490000,129.82,2.819999999999993
14,Southampton,40,SOU,0,0.9227396245059288,274300000,52580000,43.1,-17.270000000000003
15,Everton,39,EVE,0,0.9825882590786181,479050000,92698000,39.5,-6.5
16,Leeds United,38,LEE,0,0.9576669305885458,299450000,23810000,58.900000000000006,58.900000000000006
17,Burnley,35,BUR,0,0.8782849868145858,138050000,39520000,49.4,8.899999999999999
18,Watford,23,WAT,0,0.9546276127357833,156200000,41380000,43.5,30.65
19,Norwich City,22,NOR,0,0.9867493760093965,163200000,31320000,64.05,25.65
