,Team,Pts,abb,target,att_percent,TotValue,annual_wage,total_spend,net_spend
0,Manchester City,86,MCI,1,0.1817620008361052,1040000000,137678000,172.3,95.65
1,Manchester United,74,MNU,1,0.1335487920511759,770050000,193410000,83.8,64.3
2,Liverpool,69,LIV,1,0.07397270407219736,969650000,130920000,82.65,65.45
3,Chelsea,67,CHE,1,0.11254987393826646,889200000,147811988,247.2,190.04999999999998
4,Leicester City,66,LEI,0,0.24788522913890865,510700000,77526000,59.4,5.6299999999999955
5,West Ham United,65,WES,0,0.096,334900000,66476000,54.7,9.29
6,Tottenham Hotspur,62,TOT,1,0.09667751603235475,703500000,134476000,110.5,97.2
7,Arsenal,61,ARS,1,0.1647337901950448,619250000,147450000,86.0,66.85
8,Leeds United,59,LEE,0,0.21113750329902348,238100000,24186400,106.8,106.8
9,Everton,59,EVE,0,0.08480958277526472,511200000,92073000,73.37,68.94
10,Aston Villa,55,AST,0,0.0,430750000,62113024,101.35,98.58
11,Newcastle United,45,NEW,0,0.19106576483625665,255350000,57546000,39.0,38.725
12,Wolverhampton Wanderers,45,WOL,0,0.0,450300000,51513800,87.8,8.599999999999994
13,Crystal Palace,44,CRY,0,0.16316658348370253,193850000,88735000,22.400000000000002,2.400000000000002
14,Southampton,43,SOU,0,0.06175889328063241,282800000,57184000,37.3,10.999999999999996
15,Brighton & Hove Albion,41,BRI,0,0.12522012578616354,290400000,51578900,28.5,7.899999999999999
16,Burnley,39,BUR,0,0.15913430935709738,132300000,36751000,1.1,-1.1999999999999997
17,Fulham,28,FUL,0,0.08934953538241601,239750000,52168824,37.25,37.25
18,West Bromwich Albion,26,WES,0,0.2000372439478585,141150000,37088200,42.14,34.04
19,Sheffield United,23,SHE,0,0.1558314476178827,149850000,20087200,62.7,62.7
