,Team,Pts,abb,target,att_percent,TotValue,annual_wage,total_spend,net_spend
0,Manchester City,100,MCI,1,0.9780976788992493,1010000000,151498000,317.5,226.15
1,Manchester United,81,MNU,1,1.0012954232828963,849500000,166171000,198.4,152.9
2,Tottenham Hotspur,77,TOT,1,1.087557603686636,829600000,80298000,123.5,19.700000000000003
3,Liverpool,75,LIV,1,0.9810444945814994,857500000,95673000,173.65,-10.849999999999994
4,Chelsea,70,CHE,1,1.010501064793283,884250000,121662000,260.5,65.9
5,Arsenal,63,ARS,1,0.9772502635740643,694000000,158256000,152.85,-9.150000000000006
6,Burnley,54,BUR,0,0.9406201691370373,169300000,32557000,35.739999999999995,-14.260000000000005
7,Everton,49,EVE,0,0.9804402213742387,381250000,85440000,203.2,76.81999999999998
8,Leicester City,47,LEI,0,0.9786198989867689,304250000,64107000,83.845,33.745
9,Newcastle United,44,NEW,0,0.9933891245366655,208280000,42219000,46.5,25.28
10,Crystal Palace,44,CRY,0,0.9622989211809422,220730000,68041000,48.95,45.95
11,Bournemouth,44,BOU,0,0.9391826286521316,144500000,43061000,34.3,34.3
12,West Ham United,42,WES,0,0.91016,260600000,69533000,56.800000000000004,-12.219999999999992
13,Watford,41,WAT,0,0.9376187607174306,196000000,46476000,73.4,54.66000000000001
14,Brighton & Hove Albion,40,BRI,0,0.9560377358490566,148200000,39909000,66.5,66.1
15,Huddersfield Town,37,HUD,0,0.9813061224489796,106050000,25607000,56.75,50.295
16,Southampton,36,SOU,0,0.9509016798418972,297000000,68073000,61.25,-37.10000000000001
17,Swansea City,33,SWA,0,0.9779021244309559,165490000,47773000,73.385,-7.714999999999989
18,Stoke City,33,STO,0,0.9731130978098309,192450000,49052000,57.699999999999996,22.559999999999995
19,West Bromwich Albion,31,WES,0,0.9132216014897578,165950000,59054000,53.5,51.45
