,Team,Pts,abb,target,att_percent,TotValue,annual_wage,total_spend,net_spend
0,Liverpool,99,LIV,1,0.9827828531271962,1000000000,114870000,10.4,-34.1
1,Manchester City,81,MCI,1,0.9854953923332788,1050000000,148990000,159.52,88.52000000000001
2,Manchester United,66,MNU,1,0.9710332670040998,670450000,165440000,234.8,153.62
3,Chelsea,66,CHE,1,0.9929013781117666,705850000,119650000,45.0,-112.26599999999999
4,Leicester City,62,LEI,0,0.9934310414278188,411100000,73530000,104.3,15.799999999999997
5,Tottenham Hotspur,59,TOT,1,0.9568496020108924,806800000,107580000,148.5,84.0
6,Wolverhampton Wanderers,59,WOL,0,0.9784711388455539,320330000,54130000,116.7,92.6
7,Arsenal,56,ARS,1,0.9929988139167106,607650000,118540000,160.8,107.15
8,Sheffield United,54,SHE,0,0.9450492324628464,138600000,24180000,70.5,70.15
9,Burnley,54,BUR,0,0.921160316449941,163880000,44470000,23.85,10.3
10,Southampton,52,SOU,0,0.9163475790513834,210750000,53540000,61.5,34.2
11,Everton,49,EVE,0,0.9893608956053676,420550000,87930000,121.0,33.2
12,Newcastle United,44,NEW,0,0.921854102181971,252480000,67310000,72.9,37.260000000000005
13,Crystal Palace,43,CRY,0,0.9621069604944906,189330000,74290000,7.6,-47.775
14,Brighton & Hove Albion,41,BRI,0,0.9545911949685535,200780000,48720000,68.39999999999999,59.89999999999999
15,West Ham United,39,WES,0,0.9588,303600000,74506000,119.8,64.32
16,Aston Villa,35,AST,0,0.9760789091420271,231700000,51150000,159.5,156.5
17,Bournemouth,34,BOU,0,0.9277076529261188,272180000,42350000,54.910000000000004,20.285000000000004
18,Watford,34,WAT,0,0.9657042220883347,199600000,57670000,48.5,23.1
19,Norwich City,21,NOR,0,0.9918514168257231,145330000,26190000,8.815000000000001,6.615000000000001
