,Team,Pts,abb,target,att_percent,TotValue,annual_wage,total_spend,net_spend
0,Manchester City,86,MCI,1,0.8557354999363832,455800000,113254000,115.5,104.2
1,Liverpool,84,LIV,1,0.826108665902282,315750000,65647000,58.1,25.6
2,Chelsea,82,CHE,1,1.0153966660955132,584200000,102922000,130.35,52.41999999999999
3,Arsenal,79,ARS,1,0.9886168950975224,385750000,71994000,49.25,37.1
4,Everton,72,EVE,0,0.9535265724899548,210000000,52840000,31.8,-14.3
5,Tottenham Hotspur,69,TOT,1,0.5769714156810931,288950000,51251000,122.55,-15.845000000000013
6,Manchester United,64,MNU,1,1.0043804003792784,402550000,97292000,77.13,75.33
7,Southampton,56,SOU,0,0.9329298418972332,131500000,27906000,39.6,35.4
8,Stoke City,50,STO,0,0.8686563195852305,104700000,33927000,7.0,7.0
9,Newcastle United,49,NEW,0,0.9628759218923154,172300000,36448000,3.8,-22.07
10,Crystal Palace,45,CRY,0,0.9257879986178831,68700000,19377000,33.0,33.0
11,Swansea City,42,SWA,0,0.9677067526555386,128930000,21459000,26.612,26.612
12,West Ham United,40,WES,0,0.5471520000000001,109500000,47267000,24.0,23.47
13,Sunderland,38,SUN,0,0.8436159073644446,122000000,41565000,33.91,11.529999999999998
14,Aston Villa,38,AST,0,0.8453446417693642,109500000,33046000,19.84,11.74
15,Hull City,37,HUL,0,0.9425857891034161,68150000,21024000,31.099999999999998,30.22
16,West Bromwich Albion,36,WES,0,0.9383240223463686,90800000,34543000,15.7,4.299999999999999
17,Norwich City,33,NOR,0,0.9838863602995155,89300000,27829000,30.05,25.215
18,Fulham,32,FUL,0,1.1158416726233022,112650000,33327000,29.299999999999997,25.15
19,Cardiff City,30,CAR,0,0.82421875,87900000,27872000,45.815,42.074999999999996
