,Team,Pts,abb,target,att_percent,TotValue,annual_wage,total_spend,net_spend
0,Chelsea,87,CHE,1,1.0169632585122268,557250000,104644000,137.7,-5.110000000000014
1,Manchester City,79,MCI,1,0.8245633167929912,448250000,122296000,102.8,72.5
2,Arsenal,75,ARS,1,0.9882709541381127,414750000,94677000,118.98,91.18
3,Manchester United,70,MNU,1,1.0060898249175334,505400000,141120000,195.35,148.64999999999998
4,Tottenham Hotspur,64,TOT,1,0.575682382133995,304150000,65790000,48.480000000000004,4.330000000000005
5,Liverpool,62,LIV,1,0.8258867477900654,324850000,82030000,151.43,52.16000000000001
6,Southampton,60,SOU,0,0.9465167984189724,210250000,42557000,96.0,-27.83
7,Swansea City,56,SWA,0,0.9747249620637328,130750000,30019000,41.53,-20.369999999999997
8,Stoke City,54,STO,0,0.9000299112632524,110500000,36713000,1.8,-1.9999999999999998
9,Crystal Palace,48,CRY,0,0.9372288555303874,97250000,31704000,31.22,28.349999999999998
10,Everton,47,EVE,0,0.9705592479340932,182850000,50455000,40.16,38.26
11,West Ham United,47,WES,0,0.557936,135900000,45458000,35.15,30.75
12,West Bromwich Albion,44,WES,0,0.9334823091247672,95950000,35490000,24.880000000000003,22.580000000000002
13,Leicester City,41,LEI,0,0.9820283208874291,66700000,33418000,22.86,22.86
14,Newcastle United,39,NEW,0,0.9621880851389049,140000000,32733000,45.019999999999996,21.15
15,Sunderland,38,SUN,0,0.8863407723735808,91000000,38626000,22.52,15.27
16,Aston Villa,38,AST,0,0.7997047935898037,114250000,33119000,13.45,12.135
17,Hull City,35,HUL,0,0.9206988196670054,117100000,36795000,48.217,29.517
18,Burnley,33,BUR,0,0.8698281349458944,52550000,15581000,12.620000000000001,12.620000000000001
19,Queens Park Rangers,30,QUE,0,0.9699891067538127,112250000,45100000,43.538,17.497999999999998
