,Team,Pts,abb,target,att_percent,TotValue,annual_wage,total_spend,net_spend
0,Leicester City,81,LEI,0,0.9921916152821243,161100000,36878000,49.9,40.45
1,Arsenal,71,ARS,1,0.9874802319451766,457850000,98190000,26.5,24.0
2,Tottenham Hotspur,70,TOT,1,0.5764558022622539,371850000,54248000,71.0,-16.25
3,Manchester City,66,MCI,1,0.982260028718396,499350000,126956000,208.47,141.034
4,Manchester United,66,MNU,1,1.005341951682047,439850000,124573000,156.0,55.33
5,Southampton,63,SOU,0,0.9495738636363636,225500000,42983000,60.1,7.399999999999999
6,West Ham United,62,WES,0,0.55856,201330000,53333000,52.7,34.18000000000001
7,Liverpool,60,LIV,1,0.8120353589525465,375250000,94957000,126.5,35.95
8,Stoke City,51,STO,0,0.9150852471002692,147000000,42158000,53.65,30.45
9,Chelsea,50,CHE,1,1.0158372702127139,553500000,99939000,96.5,9.010000000000005
10,Everton,47,EVE,0,0.9634328169619166,249850000,55323000,48.9,37.9
11,Swansea City,47,SWA,0,0.9821225341426403,145800000,40612000,21.810000000000002,5.005000000000003
12,Watford,45,WAT,0,0.9544422301524772,137000000,29019000,82.8,73.05
13,West Bromwich Albion,43,WES,0,0.9173556797020483,113100000,41521000,42.9,29.979999999999997
14,Crystal Palace,42,CRY,0,0.9530848082312742,135700000,54189000,28.8,23.4
15,Bournemouth,42,BOU,0,0.9876423338335245,99900000,26453000,55.11,54.46
16,Sunderland,39,SUN,0,0.8842876793889994,111250000,46349000,66.05,55.05
17,Newcastle United,37,NEW,0,0.9506286063663112,198000000,49255000,107.91,102.28
18,Norwich City,34,NOR,0,0.9900161503450301,116900000,32656000,50.5,29.01
19,Aston Villa,17,AST,0,0.7893257110725832,117950000,37231000,66.55,1.8499999999999943
